usertrend_id,tweet_id,user_id,tweet_url
HillaryClinton-201609,780839607646711808,Hillary Clinton,https://twitter.com/u/status/780839607646711808
HillaryClinton-201609,780605421321019392,Hillary Clinton,https://twitter.com/u/status/780605421321019392
HillaryClinton-201609,780652987635015680,Hillary Clinton,https://twitter.com/u/status/780652987635015680
HillaryClinton-201609,780598590846541824,Hillary Clinton,https://twitter.com/u/status/780598590846541824
HillaryClinton-201609,780591715438780416,Hillary Clinton,https://twitter.com/u/status/780591715438780416
HillaryClinton-201609,780586628993744896,Hillary Clinton,https://twitter.com/u/status/780586628993744896
HillaryClinton-201609,780584363473965057,Hillary Clinton,https://twitter.com/u/status/780584363473965057
HillaryClinton-201609,780576037516222464,Hillary Clinton,https://twitter.com/u/status/780576037516222464
HillaryClinton-201609,780574117602947072,Hillary Clinton,https://twitter.com/u/status/780574117602947072
HillaryClinton-201609,780574589973770241,Hillary Clinton,https://twitter.com/u/status/780574589973770241
HillaryClinton-201609,780586488929087488,Hillary Clinton,https://twitter.com/u/status/780586488929087488
HillaryClinton-201609,780584375599628288,Hillary Clinton,https://twitter.com/u/status/780584375599628288
HillaryClinton-201609,780595208572375040,Hillary Clinton,https://twitter.com/u/status/780595208572375040
HillaryClinton-201609,780589481783091200,Hillary Clinton,https://twitter.com/u/status/780589481783091200
HillaryClinton-201609,780587897552371712,Hillary Clinton,https://twitter.com/u/status/780587897552371712
HillaryClinton-201609,780571233813405697,Hillary Clinton,https://twitter.com/u/status/780571233813405697
HillaryClinton-201609,780577069201698816,Hillary Clinton,https://twitter.com/u/status/780577069201698816
HillaryClinton-201609,780615395627589632,Hillary Clinton,https://twitter.com/u/status/780615395627589632
HillaryClinton-201609,780617010283589632,Hillary Clinton,https://twitter.com/u/status/780617010283589632
HillaryClinton-201609,780819592708882432,Hillary Clinton,https://twitter.com/u/status/780819592708882432
HillaryClinton-201609,780575723601952772,Hillary Clinton,https://twitter.com/u/status/780575723601952772
HillaryClinton-201609,780588281599823872,Hillary Clinton,https://twitter.com/u/status/780588281599823872
HillaryClinton-201609,780596910084149248,Hillary Clinton,https://twitter.com/u/status/780596910084149248
HillaryClinton-201609,780579485846376448,Hillary Clinton,https://twitter.com/u/status/780579485846376448
HillaryClinton-201609,780631516560830464,Hillary Clinton,https://twitter.com/u/status/780631516560830464
HillaryClinton-201609,780806480022806528,Hillary Clinton,https://twitter.com/u/status/780806480022806528
HillaryClinton-201609,780579585318584320,Hillary Clinton,https://twitter.com/u/status/780579585318584320
HillaryClinton-201609,780597905597927425,Hillary Clinton,https://twitter.com/u/status/780597905597927425
HillaryClinton-201609,780591365239562241,Hillary Clinton,https://twitter.com/u/status/780591365239562241
HillaryClinton-201609,780596701899919360,Hillary Clinton,https://twitter.com/u/status/780596701899919360
HillaryClinton-201609,780589471335088128,Hillary Clinton,https://twitter.com/u/status/780589471335088128
HillaryClinton-201609,780807846124523520,Hillary Clinton,https://twitter.com/u/status/780807846124523520
HillaryClinton-201609,780566750488178688,Hillary Clinton,https://twitter.com/u/status/780566750488178688
HillaryClinton-201609,780590698030563328,Hillary Clinton,https://twitter.com/u/status/780590698030563328
HillaryClinton-201609,780883366371614720,Hillary Clinton,https://twitter.com/u/status/780883366371614720
HillaryClinton-201609,780625588667179008,Hillary Clinton,https://twitter.com/u/status/780625588667179008
HillaryClinton-201609,780586252580061184,Hillary Clinton,https://twitter.com/u/status/780586252580061184
HillaryClinton-201609,780572285568622593,Hillary Clinton,https://twitter.com/u/status/780572285568622593
HillaryClinton-201609,780779310990884868,Hillary Clinton,https://twitter.com/u/status/780779310990884868
HillaryClinton-201609,780588954714341376,Hillary Clinton,https://twitter.com/u/status/780588954714341376
HillaryClinton-201609,780579900893827072,Hillary Clinton,https://twitter.com/u/status/780579900893827072
HillaryClinton-201609,780594809069146112,Hillary Clinton,https://twitter.com/u/status/780594809069146112
HillaryClinton-201609,780580445142515713,Hillary Clinton,https://twitter.com/u/status/780580445142515713
HillaryClinton-201609,780574735637688320,Hillary Clinton,https://twitter.com/u/status/780574735637688320
HillaryClinton-201609,780587892058034177,Hillary Clinton,https://twitter.com/u/status/780587892058034177
HillaryClinton-201609,780584875887689729,Hillary Clinton,https://twitter.com/u/status/780584875887689729
HillaryClinton-201609,780776335400546305,Hillary Clinton,https://twitter.com/u/status/780776335400546305
HillaryClinton-201609,780587107626590208,Hillary Clinton,https://twitter.com/u/status/780587107626590208
HillaryClinton-201609,780814828977942528,Hillary Clinton,https://twitter.com/u/status/780814828977942528
HillaryClinton-201609,780590313236598784,Hillary Clinton,https://twitter.com/u/status/780590313236598784
HillaryClinton-201609,780593653400084480,Hillary Clinton,https://twitter.com/u/status/780593653400084480
HillaryClinton-201609,780585889986650112,Hillary Clinton,https://twitter.com/u/status/780585889986650112
HillaryClinton-201609,780598315767345152,Hillary Clinton,https://twitter.com/u/status/780598315767345152
HillaryClinton-201609,780570595167789056,Hillary Clinton,https://twitter.com/u/status/780570595167789056
HillaryClinton-201609,780812632131506177,Hillary Clinton,https://twitter.com/u/status/780812632131506177
HillaryClinton-201609,780595868315619328,Hillary Clinton,https://twitter.com/u/status/780595868315619328
HillaryClinton-201609,780591439591841792,Hillary Clinton,https://twitter.com/u/status/780591439591841792
HillaryClinton-201609,780759867111960577,Hillary Clinton,https://twitter.com/u/status/780759867111960577
HillaryClinton-201609,780587769387245568,Hillary Clinton,https://twitter.com/u/status/780587769387245568
HillaryClinton-201609,780599027922534400,Hillary Clinton,https://twitter.com/u/status/780599027922534400
HillaryClinton-201609,780587065972961280,Hillary Clinton,https://twitter.com/u/status/780587065972961280
HillaryClinton-201609,780691892799496192,Hillary Clinton,https://twitter.com/u/status/780691892799496192
HillaryClinton-201609,780582463584206850,Hillary Clinton,https://twitter.com/u/status/780582463584206850
HillaryClinton-201609,780577866685685760,Hillary Clinton,https://twitter.com/u/status/780577866685685760
HillaryClinton-201609,780858950338031616,Hillary Clinton,https://twitter.com/u/status/780858950338031616
HillaryClinton-201609,780591821835698176,Hillary Clinton,https://twitter.com/u/status/780591821835698176
HillaryClinton-201609,780590501183369216,Hillary Clinton,https://twitter.com/u/status/780590501183369216
HillaryClinton-201609,780582920922787841,Hillary Clinton,https://twitter.com/u/status/780582920922787841
HillaryClinton-201609,780588178352635904,Hillary Clinton,https://twitter.com/u/status/780588178352635904
HillaryClinton-201609,780743313435525121,Hillary Clinton,https://twitter.com/u/status/780743313435525121
HillaryClinton-201609,780596459943059458,Hillary Clinton,https://twitter.com/u/status/780596459943059458
HillaryClinton-201609,780590061448552448,Hillary Clinton,https://twitter.com/u/status/780590061448552448
HillaryClinton-201609,780600809272643584,Hillary Clinton,https://twitter.com/u/status/780600809272643584
HillaryClinton-201609,780596884020666368,Hillary Clinton,https://twitter.com/u/status/780596884020666368
HillaryClinton-201609,780854453037563904,Hillary Clinton,https://twitter.com/u/status/780854453037563904
HillaryClinton-201609,780609079538552832,Hillary Clinton,https://twitter.com/u/status/780609079538552832
HillaryClinton-201609,780580736617230336,Hillary Clinton,https://twitter.com/u/status/780580736617230336
HillaryClinton-201609,780595628355096576,Hillary Clinton,https://twitter.com/u/status/780595628355096576
HillaryClinton-201609,780597343666053120,Hillary Clinton,https://twitter.com/u/status/780597343666053120
HillaryClinton-201609,780874230435082240,Hillary Clinton,https://twitter.com/u/status/780874230435082240
HillaryClinton-201609,780579855091982336,Hillary Clinton,https://twitter.com/u/status/780579855091982336
HillaryClinton-201609,780575308189753348,Hillary Clinton,https://twitter.com/u/status/780575308189753348
HillaryClinton-201609,780892120684953600,Hillary Clinton,https://twitter.com/u/status/780892120684953600
HillaryClinton-201609,780848776999084032,Hillary Clinton,https://twitter.com/u/status/780848776999084032
HillaryClinton-201609,780798150478995456,Hillary Clinton,https://twitter.com/u/status/780798150478995456
HillaryClinton-201609,780845970997256192,Hillary Clinton,https://twitter.com/u/status/780845970997256192
HillaryClinton-201609,780897359786086400,Hillary Clinton,https://twitter.com/u/status/780897359786086400
HillaryClinton-201609,780632717033672709,Hillary Clinton,https://twitter.com/u/status/780632717033672709
HillaryClinton-201609,780614059645370369,Hillary Clinton,https://twitter.com/u/status/780614059645370369
HillaryClinton-201609,780576686991605764,Hillary Clinton,https://twitter.com/u/status/780576686991605764
HillaryClinton-201609,780802719372218368,Hillary Clinton,https://twitter.com/u/status/780802719372218368
HillaryClinton-201609,780568352955572224,Hillary Clinton,https://twitter.com/u/status/780568352955572224
HillaryClinton-201609,780782427253960704,Hillary Clinton,https://twitter.com/u/status/780782427253960704
HillaryClinton-201609,780597935230689280,Hillary Clinton,https://twitter.com/u/status/780597935230689280
HillaryClinton-201609,780574212901646336,Hillary Clinton,https://twitter.com/u/status/780574212901646336
HillaryClinton-201609,780580119190437890,Hillary Clinton,https://twitter.com/u/status/780580119190437890
HillaryClinton-201609,780585816661778432,Hillary Clinton,https://twitter.com/u/status/780585816661778432
HillaryClinton-201609,780650439650009088,Hillary Clinton,https://twitter.com/u/status/780650439650009088
HillaryClinton-201609,780588284917547009,Hillary Clinton,https://twitter.com/u/status/780588284917547009
HillaryClinton-201609,780618307917389824,Hillary Clinton,https://twitter.com/u/status/780618307917389824
